"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"02043",2.2,1,1,4,8,15
"02045",0.5,0,0,1,2,2
"02048",4,4,4,4,0,1
"02050",0.09090909090909091,0,0,0,11,11
"02053",0.3333333333333333,0,0,1,3,3
"02056",1.5,1,1,2,1,2
"02059",0,0,0,0,1,1
"02061",0.6,1,0,1,5,5
"02062",2,1,1,3,1,2
"02066",1,1,1,1,5,5
"02081",0,0,0,0,1,1
"02090",1,1,1,1,1,1
"02093",0,0,0,0,1,1
"02101",0,0,0,0,1,1
"02108",1,1,1,1,1,1
"02109",0,0,0,0,2,2
"02111",0,0,0,0,1,1
"02113",0,0,0,0,2,2
"02114",1.6,0,0,4,3,5
"02115",1.2,0,0,2,7,10
"02116",0.875,1,0,1,7,8
"02118",0.2,0,0,0,9,10
"02120",4,4,4,4,0,1
"02122",1,1,1,1,1,1
"02124",1,1,1,1,2,2
"02125",0.3333333333333333,0,0,1,3,3
"02127",8,8,8,8,0,1
"02128",0,0,0,0,1,1
"02129",2.4,3,2,3,1,5
"02130",0,0,0,0,3,3
"02132",0.6,1,0,1,5,5
"02134",2,0,0,1,3,4
"02135",0,0,0,0,7,7
"02136",1,1,1,1,1,1
"02138",0.4,0,0,1,5,5
"02139",0,0,0,0,1,1
"02140",0,0,0,0,1,1
"02141",0,0,0,0,2,2
"02142",0,0,0,0,1,1
"02144",0.5,0,0,1,4,4
"02148",0.25,0,0,0,8,8
"02149",1.5,1,1,2,1,2
"02150",4,0,0,8,1,2
"02151",0,0,0,0,4,4
"02152",0,0,0,0,1,1
"02155",1,1,0,2,2,3
"02163",2.5,0,0,5,1,2
"02169",0,0,0,0,1,1
"02171",2,2,2,2,0,2
"02176",0.5,0,0,1,4,4
"02180",0,0,0,0,1,1
"02181",1,1,1,1,2,2
"02184",0.5,0,0,1,2,2
"02188",1,1,1,1,1,1
"02189",0.3333333333333333,0,0,1,3,3
"02215",0.42857142857142855,0,0,1,6,7
"02269",1,1,1,1,1,1
"02301",0,0,0,0,2,2
"02302",0,0,0,0,2,2
"02324",0,0,0,0,1,1
"02332",0.8,1,1,1,5,5
"02360",0.6666666666666666,1,0,1,3,3
"02364",1,1,1,1,1,1
"02368",0,0,0,0,2,2
