"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"15530",0.7138047138047138,1,0,1,278,297
"15531",0.7137404580152672,0,0,1,233,262
"15532",0.6666666666666666,1,0,1,8,9
"15533",0.926829268292683,1,0,1,34,41
"15534",0.5652173913043478,0,0,1,21,23
"15535",1.109375,1,0,1,48,64
"15536",0.8611111111111112,1,0,1,30,36
"15537",1.2896890343698855,1,0,2,453,611
"15538",0.8,0,0,1,29,35
"15539",1.1388888888888888,1,0,1,28,36
"15540",0.5714285714285714,0,0,1,6,7
"15541",0.5953488372093023,0,0,1,200,215
"15542",0.9594594594594594,1,0,1,67,74
"15544",1.2,1,0,1,12,15
"15545",1.4375,1,0,1,37,48
"15546",0.875,1,0,1,19,24
"15547",0.56,0,0,1,46,50
"15548",0.5,0,0,1,2,2
"15549",0.5,0,0,1,6,6
"15550",1.0461538461538462,1,0,2,48,65
"15551",0.6739130434782609,1,0,1,40,46
"15552",0.853185595567867,1,0,1,316,361
"15553",0.5,0,0,1,5,6
"15554",0.8679245283018868,1,0,1,88,106
"15555",0.5,0,0,1,6,6
"15557",0.9414634146341463,1,0,1,180,205
"15558",0.896551724137931,1,0,1,53,58
"15559",0.7792207792207793,0,0,1,66,77
"15560",0.6,0,0,1,9,10
"15561",0.6923076923076923,0,0,1,11,13
"15562",0.6666666666666666,0,0,1,5,6
"15563",0.5982142857142857,0,0,1,207,224
"15564",1.5714285714285714,1,0,4,4,7
"15565",1,1,1,1,1,1
"15601",1.5960435212660733,1,1,2,5992,10110
"15605",2,2,2,2,0,1
"15610",1.2923497267759563,1,1,2,256,366
"15611",1.5128205128205128,1,0,2,26,39
"15612",0.8627450980392157,1,0,1,43,51
"15613",1.415778251599147,1,0,2,691,938
"15615",1.2727272727272727,1,1,2,8,11
"15616",1.6666666666666667,2,1,2,7,15
"15617",1.7058823529411764,1,1,2,24,34
"15618",1.6404494382022472,1,0,2,117,178
"15619",1.34375,1,0,1,27,32
"15620",1.3953488372093024,1,1,2,58,86
"15621",0,0,0,0,1,1
"15622",1.303921568627451,1,0,2,73,102
"15623",1.42,1,1,2,64,100
"15624",1.836734693877551,1,1,2,26,49
"15625",1.1818181818181819,1,0,2,8,11
"15626",1.6204545454545454,1,1,2,294,440
"15627",1.4170918367346939,1,1,2,505,784
"15628",1.6307692307692307,1,1,2,38,65
"15629",1.95,1,0,2,29,40
"15631",1.5432098765432098,1,1,2,48,81
"15632",1.374496644295302,1,0,2,533,745
"15633",1.565217391304348,1,0,2,12,23
"15634",1.6515151515151516,1,1,2,40,66
"15635",1.4230769230769231,1,1,2,17,26
"15636",1.4204545454545454,1,0,2,175,264
"15637",1.4935897435897436,1,0,2,102,156
"15638",1.0714285714285714,1,0,1,21,28
"15639",1.4137931034482758,1,0,2,117,174
"15640",1.1666666666666667,1,0,2,8,12
"15641",1.119047619047619,1,0,1,36,42
"15642",1.4678390749217056,1,1,2,2741,4151
"15643",2,2,2,2,0,1
"15644",1.4432038834951457,1,1,2,1370,2060
"15646",1.1481481481481481,1,1,2,20,27
"15647",1.2,1,1,2,18,25
"15650",1.4169270833333334,1,1,2,2466,3840
"15655",1.8076923076923077,1,1,2,28,52
"15656",1.4596273291925466,1,0,2,428,644
"15658",1.4038022813688213,1,1,2,859,1315
"15660",1.3333333333333333,1,1,2,19,30
"15661",1.4259259259259258,1,1,2,35,54
"15662",1.5714285714285714,1,1,2,7,14
"15663",1.3061224489795917,1,1,2,32,49
"15664",2,2,0,4,5,11
"15665",1.5902777777777777,1,1,2,89,144
"15666",1.4231220657276995,1,1,2,1056,1704
"15668",1.5782312925170068,1,1,2,831,1323
"15670",1.289655172413793,1,0,2,194,290
"15671",1.1973684210526316,1,1,2,51,76
"15672",1.3263888888888888,1,0,2,186,288
"15673",1.5194805194805194,1,1,2,52,77
"15674",1.8181818181818181,1,1,2,20,33
"15675",1.4736842105263157,1,1,2,75,114
"15676",1.453125,1,1,2,41,64
"15677",1.3571428571428572,1,1,2,26,42
"15678",1.6119402985074627,1,0,2,41,67
"15679",1.5607142857142857,1,1,2,180,280
"15680",1.2,1,1,1,8,10
"15681",1.4456521739130435,1,0,2,236,368
"15682",0,0,0,0,1,1
"15683",1.5012376237623761,1,1,2,512,808
"15684",1.7857142857142858,1,1,3,24,42
"15685",1.36,1,1,2,15,25
"15686",1,0,0,1,28,35
"15687",1.384,1,1,2,83,125
"15688",1.4096385542168675,1,1,2,51,83
"15689",1,1,1,1,2,2
"15690",1.280392156862745,1,0,1,392,510
"15691",1.5357142857142858,1,0,2,18,28
"15692",1.2682926829268293,1,0,2,58,82
"15693",1.7272727272727273,1,0,3,11,22
"15695",1.9655172413793103,2,1,2,13,29
"15696",1.1166666666666667,1,0,1,47,60
"15697",1.6384039900249376,1,1,2,233,401
"15698",1.6964285714285714,1,1,2,36,56
"15701",1.346723044397463,1,1,2,1701,2365
"15705",4.25,2,1,5,1,4
"15710",0.7894736842105263,1,0,1,17,19
"15711",2.2222222222222223,2,1,2,7,18
"15712",1.5714285714285714,1,1,2,9,14
"15713",2.2222222222222223,2,1,4,4,9
"15714",0.9118773946360154,1,0,1,457,522
"15715",2.2083333333333335,1,1,3,24,48
"15716",1.16,1,0,1,38,50
"15717",1.383225806451613,1,0,2,523,775
"15720",0.7272727272727273,1,0,1,10,11
"15721",1.0555555555555556,1,1,1,15,18
"15722",0.9281767955801105,1,0,1,165,181
"15723",0,0,0,0,3,3
"15724",0.9712230215827338,1,0,1,121,139
"15725",1.3888888888888888,1,0,2,64,90
"15727",0.8333333333333334,1,0,1,10,12
"15728",1.1042944785276074,1,0,1,128,163
"15729",0.9107142857142857,1,0,1,45,56
"15731",1.35,0,0,2,14,20
"15732",1.1262135922330097,1,0,1,82,103
"15733",1.4,1,1,2,5,10
"15734",1.125,1,0,1,12,16
"15736",0.8484848484848485,1,0,1,28,33
"15737",0.9272727272727272,1,0,1,49,55
"15738",1,1,0,1,16,17
"15739",1.4736842105263157,1,1,1,15,19
"15741",0.8,1,0,1,4,5
"15742",1.0204081632653061,1,0,1,37,49
"15744",1.25,1,0,2,2,4
"15745",1,1,1,1,18,21
"15746",0.09411764705882353,0,0,0,84,85
"15747",1.3823529411764706,1,0,2,48,68
"15748",1.2735562310030395,1,0,2,239,329
"15750",1.4,1,0,2,6,10
"15752",0.6923076923076923,0,0,1,11,13
"15753",1.7941176470588236,1,1,2,20,34
"15754",0.76,1,0,1,21,25
"15756",1.2222222222222223,1,1,2,6,9
"15757",1.5084745762711864,1,1,2,37,59
"15758",1,1,1,1,2,2
"15759",1.5126050420168067,1,0,2,80,119
"15760",0.8947368421052632,1,1,1,18,19
"15761",1,1,1,1,7,7
"15762",0.8289473684210527,1,0,1,70,76
"15764",0.75,0,0,1,3,4
"15765",1.2933333333333332,1,1,1,60,75
"15767",2.111111111111111,2,1,2,294,612
"15770",1.7272727272727273,2,1,2,9,22
"15771",1.6666666666666667,1,1,2,18,27
"15772",1.5735294117647058,1,1,2,37,68
"15773",0.7692307692307693,1,0,1,38,39
"15774",1.2419354838709677,1,1,1,141,186
"15776",2.25,2,2,2,0,4
"15777",0.9090909090909091,1,0,1,9,11
"15778",2,2,1,3,3,10
"15779",1.3396226415094339,1,1,2,108,159
"15780",1.3333333333333333,1,1,2,4,6
"15781",3.3636363636363638,3,1,5,4,11
"15783",1,0,0,2,3,5
"15784",3.5833333333333335,3,0,5,5,12
"15801",1.9483544303797469,2,1,2,909,1975
"15821",2.2222222222222223,2,1,3,3,9
"15823",1.8556701030927836,2,1,3,48,97
"15824",1.8973684210526316,2,1,2,172,380
"15825",2.4741935483870967,2,1,4,364,930
"15827",1.3,1,1,2,6,10
"15828",2.0476190476190474,1,1,4,12,21
"15829",2.4193548387096775,2,1,3,26,62
"15831",1.391304347826087,1,1,2,14,23
"15832",1.3846153846153846,1,0,2,16,26
"15834",1.7461024498886415,1,1,2,240,449
"15840",2.0569620253164556,2,1,3,64,158
"15841",1.380952380952381,1,1,2,12,21
"15845",1.613953488372093,1,1,2,123,215
"15846",1.8353909465020577,2,1,2,113,243
"15847",2.176470588235294,2,1,3,11,34
"15848",2.2363636363636363,2,1,3,21,55
"15849",1.855421686746988,2,1,2,36,83
"15851",2.1578947368421053,2,1,3,191,532
"15853",1.7321428571428572,1,1,2,291,560
"15856",1.5471698113207548,1,1,2,30,53
"15857",1.7545572916666667,2,1,2,707,1536
"15860",2.6739130434782608,2,1,4,19,46
"15861",1.25,1,1,1,3,4
"15863",1.4,1,1,1,4,5
"15864",2.4910714285714284,2,1,4,44,112
"15865",2.220125786163522,2,1,2,60,159
"15866",2.6363636363636362,2,1,3,3,11
"15868",2.099099099099099,2,1,3,48,111
"15870",1.5555555555555556,1,1,2,38,72
"15901",0.9326788218793829,1,0,1,586,713
"15902",0.7769461077844312,1,0,1,1192,1336
"15904",0.6861669713589275,1,0,1,1502,1641
"15905",0.8253308128544423,1,0,1,2330,2645
"15906",0.6600719424460432,0,0,1,1008,1112
"15907",0.6666666666666666,0,0,1,5,6
"15909",0.7274509803921568,0,0,1,457,510
"15920",0.967032967032967,1,0,1,78,91
"15921",0.6268656716417911,0,0,1,60,67
"15922",0.8076923076923077,1,0,1,23,26
"15923",1.2606382978723405,1,0,2,136,188
"15924",1.0326086956521738,1,0,1,77,92
"15925",0.5882352941176471,0,0,1,16,17
"15926",0.7467811158798283,0,0,1,208,233
"15927",0.9387755102040817,1,0,1,84,98
"15928",0.6688311688311688,0,0,1,551,616
"15929",0.7777777777777778,1,1,1,9,9
"15930",0.8823529411764706,1,0,1,15,17
"15931",0.9567411679884643,1,0,1,1164,1387
"15934",0.9,0,0,1,24,30
"15935",0.8141891891891891,0,0,1,256,296
"15936",0.8148148148148148,1,0,1,115,135
"15937",0.7209302325581395,1,0,1,79,86
"15938",0.6900584795321637,1,0,1,155,171
"15940",0.8211920529801324,1,0,1,138,151
"15942",0.7471910112359551,1,0,1,167,178
"15943",0.7832167832167832,1,0,1,381,429
"15944",1.2890365448504983,1,0,2,212,301
"15945",1,1,0,1,17,20
"15946",0.6848381601362862,1,0,1,543,587
"15948",0.6056338028169014,1,0,1,69,71
"15949",1,1,0,1,29,37
"15951",0.6395348837209303,0,0,1,76,86
"15952",0.8769230769230769,0,0,1,114,130
"15953",1.375,1,0,1,6,8
"15954",0.7932960893854749,1,0,1,155,179
"15955",0.6862745098039216,0,0,1,139,153
"15956",0.6964285714285714,1,0,1,205,224
"15957",0.7804878048780488,1,0,1,35,41
"15958",0.7972972972972973,1,0,1,135,148
"15959",0.7647058823529411,1,0,1,15,17
"15960",1.205128205128205,1,0,1,34,39
"15961",0.68,1,0,1,65,75
"15962",0.9722222222222222,1,0,1,32,36
"15963",0.9219512195121952,1,0,1,1050,1230
"16001",1.9771451483560545,1,1,3,1414,2494
"16002",1.878419452887538,1,1,2,420,658
"16003",1.2916666666666667,1,1,1,22,24
"16020",1.206896551724138,1,0,2,21,29
"16022",0.8,0,0,1,9,10
"16023",1.0666666666666667,1,0,1,325,420
"16024",2.5,2,1,5,12,26
"16025",1.7625,1,0,2,99,160
"16027",2.25,1,0,2,9,16
"16028",1.4444444444444444,1,0,2,51,72
"16029",2.0303030303030303,1,0,2,18,33
"16030",1,0,0,1,8,10
"16033",1.3828125,1,0,2,280,384
"16034",1.9090909090909092,1,1,3,35,55
"16035",1,1,1,1,2,2
"16036",1,1,1,1,1,1
"16037",1.7604355716878404,1,1,3,302,551
"16038",1.6178861788617886,1,0,2,76,123
"16039",1.5,1,1,2,20,36
"16040",1.9,1,0,2,21,30
"16041",1.76,1,0,3,34,50
"16045",1.5172413793103448,1,0,2,42,58
"16046",1.4636942675159235,1,1,2,1084,1570
"16048",1,0,0,2,1,2
"16049",1.5319148936170213,1,0,2,60,94
"16050",1.2093023255813953,1,0,2,30,43
"16051",1.4873949579831933,1,1,2,86,119
"16052",1.560747663551402,1,1,2,80,107
"16053",1.6844919786096257,1,1,2,133,187
"16054",2.3,1,1,2,5,10
"16055",1.7029520295202951,1,0,2,368,542
"16056",1.2432432432432432,1,0,2,245,333
"16057",1.7620253164556963,1,1,2,259,395
"16059",1.4913793103448276,1,0,2,408,580
"16061",1.8333333333333333,1,0,3,54,90
"16063",1.4070221066319897,1,1,2,512,769
"16066",1.4142062473256312,1,0,2,1737,2337
"16101",1.4470089495996232,1,0,2,1440,2123
"16102",1.4467455621301775,1,0,2,246,338
"16103",1,1,0,2,3,5
"16105",1.5502487562189056,1,0,2,713,1005
"16107",1.75,1,1,2,5,8
"16110",1.1818181818181819,1,0,2,8,11
"16111",1.5416666666666667,1,1,1,20,24
"16112",1.4871794871794872,1,1,2,50,78
"16113",1.4285714285714286,1,1,2,13,21
"16114",1.3846153846153846,1,1,2,9,13
"16115",1.2396694214876034,1,0,2,86,121
"16116",1.4217687074829932,1,0,2,105,147
"16117",1.3291666666666666,1,0,2,717,960
"16120",1.4077669902912622,1,0,2,77,103
"16121",1.0062111801242235,1,0,1,244,322
"16123",1.2166666666666666,1,0,1,92,120
"16124",1.2985074626865671,1,0,2,49,67
"16125",1.8276714021000617,1,1,2,987,1619
"16127",1.8866171003717471,2,1,2,266,538
"16130",1.6029411764705883,1,1,2,48,68
"16131",1.4,1,0,2,22,30
"16132",1.9444444444444444,1,0,2,11,18
"16133",1.7014925373134329,1,1,2,48,67
"16134",1.4152046783625731,1,1,2,124,171
"16136",1.8333333333333333,1,1,2,35,54
"16137",1.3277945619335347,1,1,2,481,662
"16140",0.6666666666666666,1,0,1,6,6
"16141",1.5357142857142858,1,1,2,39,56
"16142",2.0387409200968523,2,1,3,200,413
"16143",1.5714285714285714,1,1,2,80,126
"16145",1.3936170212765957,1,1,2,66,94
"16146",1.3257042253521127,1,1,2,771,1136
"16148",1.397457627118644,1,1,2,781,1180
"16150",1.2542857142857142,1,1,2,246,350
"16151",0.2,0,0,0,5,5
"16153",1.826086956521739,1,1,2,60,92
"16154",1.3928571428571428,1,1,2,79,112
"16155",1,1,0,1,3,4
"16156",1.4854368932038835,1,0,2,74,103
"16157",1.53125,1,0,2,90,128
"16159",1.2660944206008584,1,1,2,172,233
"16160",1.4339622641509433,1,0,2,37,53
"16161",1.0888888888888888,1,1,1,34,45
"16162",0,0,0,0,2,2
"16201",1.2722620266120779,1,0,1,744,977
"16210",1.0588235294117647,1,0,1,42,51
"16211",2.5,0,0,5,1,2
"16212",1.0344827586206897,1,0,1,23,29
"16213",3.75,3,0,6,1,4
"16214",2.5267857142857144,2,1,4,238,560
"16216",2,2,2,2,0,1
"16217",3.8333333333333335,3,2,6,2,12
"16218",1.2,1,0,1,35,45
"16222",0.9893617021276596,1,0,1,78,94
"16223",0.25,0,0,0,8,8
"16224",2.5217391304347827,2,1,4,20,46
"16225",1,0,0,1,4,5
"16226",1.2578125,1,0,1,295,384
"16228",1,0,0,2,14,20
"16229",1.4581818181818182,1,0,1,211,275
"16230",2.1333333333333333,2,1,3,7,15
"16232",4.66060606060606,1,1,3,89,165
"16233",3,2,1,4,9,24
"16234",2,1,1,4,2,3
"16235",3.2,2,1,4,13,30
"16236",1,0,0,1,16,19
"16238",1.5,1,0,2,10,14
"16239",1.840677966101695,1,1,3,170,295
"16240",1.9857142857142858,1,1,3,42,70
"16242",2.4186046511627906,1,1,3,115,215
"16244",0.9166666666666666,1,0,1,9,12
"16245",4.75,3,1,9,4,16
"16246",1.25,1,0,2,8,12
"16248",2.0695652173913044,1,1,2,66,115
"16249",1.7777777777777777,1,0,2,56,81
"16250",1.4375,0,0,2,11,16
"16253",2,0,0,4,1,2
"16254",2.2822085889570554,2,1,3,74,163
"16255",2.6535433070866143,2,2,3,31,127
"16256",1.2121212121212122,1,0,2,24,33
"16258",2.191011235955056,2,1,3,39,89
"16259",1.7383177570093458,1,0,2,72,107
"16260",5,1,1,9,1,2
"16261",2,2,2,2,0,1
"16262",1.6862745098039216,1,0,2,107,153
"16263",0.9411764705882353,1,0,1,15,17
"16301",1.628131021194605,1,0,2,358,519
"16311",2.1,2,0,2,8,20
"16312",0,0,0,0,1,1
"16313",1.5681818181818181,1,0,2,28,44
"16314",1.6464088397790055,1,1,2,125,181
"16316",1.3375,1,0,1,121,160
"16317",1.5952380952380953,1,1,1,32,42
"16319",1.326086956521739,1,0,2,33,46
"16321",0.6666666666666666,0,0,1,5,6
"16322",2.6666666666666665,1,1,3,3,6
"16323",1.7376093294460642,1,1,2,445,686
"16326",1.3529411764705883,1,0,2,11,17
"16327",1.3125,1,1,1,73,96
"16328",2.3333333333333335,2,2,3,0,3
"16329",2.272727272727273,1,1,2,6,11
"16331",2,1,1,3,1,2
"16332",1,0,0,1,3,4
"16333",0.6,0,0,0,4,5
"16334",1.8888888888888888,2,1,2,4,9
"16335",1.6296992481203008,1,1,2,979,1596
"16340",1.1702127659574468,1,0,2,31,47
"16341",1.8620689655172413,1,1,3,37,58
"16342",1.2166666666666666,1,0,1,46,60
"16343",1.6666666666666667,1,1,3,6,9
"16344",0.7692307692307693,1,0,1,12,13
"16345",1.8651685393258426,1,1,2,51,89
"16346",1.1896207584830338,1,1,1,403,501
"16347",1.702127659574468,1,0,2,29,47
"16350",1.6229508196721312,1,1,2,43,61
"16351",1.5208333333333333,1,0,2,29,48
"16352",1.4285714285714286,1,0,3,8,14
"16353",1.6521739130434783,1,0,2,48,69
"16354",1.7815315315315314,1,1,2,257,444
"16360",1.25,1,0,2,35,48
"16361",0.6666666666666666,1,0,1,3,3
"16362",1.5,1,0,1,21,28
"16364",1.3636363636363635,1,0,2,24,33
"16365",1.8733431516936672,1,1,2,361,679
"16370",3.5,3,3,4,0,2
"16371",1.7409638554216869,1,1,2,89,166
"16372",1.0769230769230769,1,0,1,20,26
"16373",2.0259740259740258,1,1,2,51,77
"16374",2.4,1,0,2,25,40
"16375",2,2,2,2,0,1
"16401",1.2515337423312884,1,0,2,115,163
"16402",1.4444444444444444,1,0,2,16,27
"16403",1.0970873786407767,1,0,1,337,412
"16404",1.2236842105263157,1,0,2,52,76
"16405",1.7,1,1,2,12,20
"16406",1.1883561643835616,1,1,1,250,292
"16407",1.345890410958904,1,0,2,428,584
"16410",1.5606060606060606,1,1,2,41,66
"16411",1.7682926829268293,1,1,3,47,82
"16412",1.4226190476190477,1,0,2,241,336
"16415",0.9591836734693877,1,0,1,578,735
"16416",1.7272727272727273,1,1,2,6,11
"16417",1.7436743674367436,1,1,3,501,909
"16420",2.85,1,0,2,13,20
"16421",1.185483870967742,1,1,1,93,124
"16422",2,1,1,2,4,8
"16423",1.6367521367521367,1,1,2,154,234
"16424",1.424778761061947,1,0,1,87,113
"16425",1.5,1,1,2,1,2
"16426",1.6666666666666667,1,0,2,112,189
"16427",0.5294117647058824,1,0,1,17,17
"16428",1.4696356275303644,1,0,2,334,494
"16430",3,2,2,4,0,2
"16432",1,1,1,1,2,2
"16433",1.137466307277628,1,1,1,324,371
"16434",1.3529411764705883,1,0,1,53,68
"16435",1.3571428571428572,1,1,2,52,70
"16436",1.5,1,0,3,9,14
"16438",1.3759124087591241,1,1,2,189,274
"16440",0.9210526315789473,1,0,1,32,38
"16441",1.3864229765013054,1,0,2,259,383
"16442",1.5408163265306123,1,0,2,66,98
"16443",1.2328767123287672,1,0,2,48,73
"16444",4,4,4,4,0,1
"16475",0.958904109589041,1,1,1,128,146
"16501",1.096638655462185,1,0,1,182,238
"16502",1.4451530612244898,1,1,2,1471,2352
"16503",1.2750965250965252,1,0,2,735,1036
"16504",1.241726618705036,1,0,2,950,1390
"16505",1.3903792784458835,1,1,2,751,1081
"16506",1.5038167938931297,1,1,2,870,1310
"16507",1.4381909547738694,1,1,2,694,995
"16508",1.3764044943820224,1,0,2,850,1246
"16509",1.4242571846078909,1,0,2,1350,2053
"16510",1.434782608695652,1,0,2,933,1380
"16511",1.6930572472594396,1,1,3,493,821
"16512",1.7777777777777777,2,1,2,4,9
"16514",1.2,1,1,1,4,5
"16541",1.8333333333333333,1,0,2,4,6
"16544",0.4444444444444444,0,0,1,8,9
"16546",3,3,3,3,0,1
"16550",1.0963172804532577,1,1,1,268,353
"16563",2.5,1,1,2,2,4
"16565",2,2,2,2,0,2
"16601",1.191808596918086,1,0,1,1869,2466
"16602",1.0753742901393908,1,0,1,1567,1937
"16603",0.6666666666666666,1,0,1,6,6
"16611",1.1838235294117647,1,0,1,105,136
"16613",1.0975609756097562,1,0,1,73,82
"16616",0.4,0,0,1,10,10
"16617",1.0071428571428571,1,0,1,112,140
"16619",0.5,0,0,1,12,14
"16620",1.2352941176470589,1,1,1,13,17
"16621",0.8064516129032258,1,0,1,26,31
"16622",1.5333333333333334,1,1,2,9,15
"16623",1.303030303030303,1,1,1,25,33
"16624",0.6153846153846154,1,0,1,12,13
"16625",1.0717948717948718,1,0,1,150,195
"16627",1.2975206611570247,1,0,1,91,121
"16629",0.5,0,0,1,6,6
"16630",0.8928571428571429,1,0,1,266,308
"16631",1.4,1,1,2,3,5
"16633",1,1,0,1,10,13
"16634",1,1,0,1,12,16
"16635",1.2173560421735605,1,1,1,1016,1233
"16636",0.8409090909090909,1,0,1,38,44
"16637",0.891566265060241,1,0,1,140,166
"16638",0.8888888888888888,1,1,1,9,9
"16639",0.75,1,0,1,40,48
"16640",0.84,1,0,1,64,75
"16641",0.8357142857142857,1,0,1,124,140
"16644",0.7692307692307693,0,0,1,11,13
"16645",0.6666666666666666,1,0,1,6,6
"16646",1.2967741935483872,1,1,2,208,310
"16647",0.7027027027027027,1,0,1,34,37
"16648",1.0975438596491227,1,0,1,1185,1425
"16650",1.368421052631579,1,0,2,69,95
"16651",1.441340782122905,1,0,2,124,179
"16652",1.168217054263566,1,0,1,984,1290
"16654",0.7459893048128342,1,0,1,348,374
"16655",0.6521739130434783,1,0,1,64,69
"16656",1.253968253968254,1,0,1,48,63
"16657",1.0116279069767442,1,0,1,71,86
"16659",0.5625,1,0,1,16,16
"16660",1,1,1,1,8,9
"16661",1.1153846153846154,1,0,1,41,52
"16662",1.3238866396761133,1,1,2,316,494
"16663",1.3333333333333333,1,1,2,11,15
"16664",0.632183908045977,1,0,1,80,87
"16665",1,1,0,2,18,25
"16666",1.3636363636363635,1,1,2,109,154
"16667",0.9146341463414634,1,0,1,69,82
"16668",0.9595588235294118,1,0,1,237,272
"16669",1.2545454545454546,1,0,2,80,110
"16670",2,1,0,3,19,27
"16671",1.2941176470588236,1,0,2,12,17
"16672",1,1,1,1,6,7
"16673",1.351578947368421,1,0,2,322,475
"16674",1.1764705882352942,1,0,1,13,17
"16675",1.1666666666666667,1,0,2,4,6
"16677",0.967741935483871,1,0,1,25,31
"16678",1.1355932203389831,1,0,1,91,118
"16679",1.4193548387096775,1,0,1,24,31
"16680",0.6666666666666666,1,0,1,20,21
"16681",1.5,1,1,2,5,8
"16682",0.6,0,0,1,9,10
"16683",0.5555555555555556,1,0,1,18,18
"16684",1.2222222222222223,1,0,1,7,9
"16685",0.8181818181818182,1,0,1,9,11
"16686",1.2169954476479514,1,0,2,491,659
"16689",1.4761904761904763,1,0,2,15,21
"16691",0.8,1,0,1,13,15
"16692",0.8470588235294118,1,0,1,78,85
"16693",1.1318181818181818,1,0,1,173,220
"16694",2.727272727272727,1,0,3,8,11
"16695",1.1521739130434783,1,0,2,34,46
"16698",1.4311377245508983,1,1,1,127,167
"16701",0.9805144193296961,1,0,1,1053,1283
"16720",1.1,1,0,1,34,40
"16724",0.5,0,0,1,5,6
"16725",1.1,1,1,1,15,20
"16726",1.2962962962962963,1,0,1,21,27
"16727",0.92,1,0,1,22,25
"16729",1.2195121951219512,1,1,1,31,41
"16730",1,1,0,2,5,7
"16731",1.128787878787879,1,1,1,106,132
"16732",1.0416666666666667,1,0,2,17,24
"16733",0.5833333333333334,0,0,1,11,12
"16734",1.5833333333333333,1,0,2,7,12
"16735",0.9971509971509972,1,0,1,300,351
"16738",1,1,1,1,79,97
"16740",0.6875,0,0,1,41,48
"16743",1.4150943396226414,1,0,2,117,159
"16744",0.9090909090909091,1,0,1,18,22
"16745",0.7037037037037037,1,0,1,26,27
"16746",1.2439024390243902,1,0,1,31,41
"16748",1.1923076923076923,1,0,1,61,78
"16749",1.0994623655913978,1,1,1,302,372
"16750",0.9166666666666666,1,0,1,21,24
"16778",5,5,4,6,0,3
"16801",1.3370165745856353,1,0,2,1350,1810
"16802",1.7972972972972974,1,1,2,45,74
"16803",1.4309338521400778,1,1,2,714,1028
"16804",1,1,1,1,8,10
"16820",1.1428571428571428,1,0,1,35,42
"16821",1.7857142857142858,1,1,3,8,14
"16822",0.9022556390977443,1,0,1,116,133
"16823",1.1920140927774516,1,0,1,1317,1703
"16825",1.4705882352941178,1,1,2,10,17
"16826",0.7941176470588235,1,0,1,63,68
"16827",1.33852140077821,1,0,2,190,257
"16828",1.186046511627907,1,1,1,173,215
"16829",1.16,1,1,1,39,50
"16830",2.118279569892473,2,1,3,414,837
"16832",1.6666666666666667,1,1,2,14,21
"16833",2.371794871794872,2,1,3,115,312
"16834",0.5833333333333334,0,0,1,11,12
"16835",0.9,1,0,1,8,10
"16836",2.0256410256410255,1,1,3,23,39
"16837",2.72,2,1,3,8,25
"16838",1.9393939393939394,2,1,3,49,99
"16839",2.8461538461538463,3,1,6,6,13
"16840",1.1379310344827587,1,0,1,22,29
"16841",1.0597014925373134,1,0,1,226,268
"16843",2.12,2,1,3,17,50
"16844",1.2430555555555556,1,1,1,117,144
"16845",1.314410480349345,1,1,2,164,229
"16847",0.8666666666666667,1,0,1,13,15
"16848",0.7727272727272727,1,0,1,18,22
"16849",1.04,1,0,2,18,25
"16850",4.6,5,5,6,1,5
"16851",1.5151515151515151,1,1,2,45,66
"16852",0.6470588235294118,1,0,1,17,17
"16853",1.131578947368421,1,0,1,58,76
"16854",1.9782608695652173,2,1,3,22,46
"16855",1.1666666666666667,1,1,2,4,6
"16856",1.2222222222222223,1,0,1,7,9
"16858",1.5395348837209302,1,1,2,141,215
"16859",1.3333333333333333,1,1,2,29,39
"16860",1.9310344827586208,1,1,3,17,29
"16861",2.7777777777777777,2,2,4,2,9
"16863",1.9736842105263157,2,1,3,17,38
"16864",0.5,0,0,1,2,2
"16865",1.2361111111111112,1,1,1,58,72
"16866",1.214170692431562,1,1,1,479,621
"16868",1.2325581395348837,1,1,1,34,43
"16870",1.1990407673860912,1,1,1,331,417
"16871",0.75,0,0,1,3,4
"16872",1.6666666666666667,1,0,1,20,24
"16873",3,1,1,5,1,2
"16874",1.2727272727272727,1,1,2,56,77
"16875",1.0864197530864197,1,0,1,127,162
"16876",1,1,0,2,6,9
"16877",1.2222222222222223,1,0,2,53,72
"16878",2.157303370786517,1,1,3,49,89
"16879",1.8148148148148149,1,1,2,17,27
"16881",1.802325581395349,1,1,2,49,86
"16882",1,1,0,1,7,8
"16901",0.9471228615863142,1,0,1,504,643
"16910",0.8571428571428571,1,0,1,11,14
"16911",0.8333333333333334,1,0,1,5,6
"16912",0.9078947368421053,1,0,1,62,76
"16914",0.7613636363636364,1,0,1,147,176
"16915",1.6666666666666667,1,0,3,109,180
"16917",0.7068965517241379,0,0,1,49,58
"16920",1.4056603773584906,1,0,2,71,106
"16921",0.9333333333333333,1,0,2,11,15
"16922",1.1129032258064515,1,0,1,48,62
"16923",1.6666666666666667,1,0,4,11,18
"16925",0.6959459459459459,0,0,1,263,296
"16926",0.62,0,0,1,44,50
"16927",0.7142857142857143,1,0,1,12,14
"16928",1.2456140350877194,1,0,2,39,57
"16929",1.2232142857142858,1,0,1,90,112
"16930",0.723404255319149,0,0,1,39,47
"16932",0.717948717948718,1,0,1,32,39
"16933",0.992831541218638,1,0,1,218,279
"16935",0.8108108108108109,0,0,1,35,37
"16936",1.075268817204301,1,0,1,156,186
