"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"01745",2,2,2,2,0,1
"01746",0,0,0,0,4,4
"01748",0,0,0,0,4,4
"01749",0,0,0,0,3,3
"01752",0.16666666666666666,0,0,0,6,6
"01756",1,1,1,1,1,1
"01757",0,0,0,0,2,2
"01760",0.7272727272727273,1,0,1,11,11
"01772",0,0,0,0,2,2
"01776",1,1,0,2,2,3
"01778",0.75,0,0,0,6,8
"01801",0,0,0,0,10,10
"01803",0,0,0,0,4,4
"01810",0,0,0,0,3,3
"01821",0,0,0,0,6,6
"01824",0,0,0,0,2,2
"01826",0,0,0,0,2,2
"01830",0,0,0,0,1,1
"01832",0,0,0,0,8,8
"01834",0,0,0,0,1,1
"01835",0,0,0,0,1,1
"01841",0,0,0,0,8,8
"01843",0,0,0,0,8,8
"01844",0,0,0,0,14,14
"01845",0.6666666666666666,1,0,1,3,3
"01850",1,1,1,1,1,1
"01851",0,0,0,0,1,1
"01852",0.2,0,0,0,5,5
"01854",0,0,0,0,3,3
"01863",0,0,0,0,1,1
"01864",0,0,0,0,1,1
"01867",0.16666666666666666,0,0,0,6,6
"01876",0,0,0,0,3,3
"01880",0,0,0,0,7,7
"01887",2,0,0,4,1,2
"01888",0,0,0,0,1,1
"01890",0.1111111111111111,0,0,0,9,9
"01904",0,0,0,0,2,2
"01905",0,0,0,0,6,6
"01906",0,0,0,0,1,1
"01907",0.75,0,0,0,3,4
"01913",0,0,0,0,2,2
"01915",0,0,0,0,3,3
"01921",1,1,1,1,1,1
"01923",0,0,0,0,8,8
"01930",0,0,0,0,8,8
"01938",0,0,0,0,1,1
"01940",0,0,0,0,5,5
"01944",0,0,0,0,1,1
"01945",0.4,0,0,1,5,5
"01949",0.25,0,0,0,4,4
"01950",0,0,0,0,3,3
"01952",0,0,0,0,4,4
"01960",0,0,0,0,5,5
"01966",0,0,0,0,2,2
"01970",1.7142857142857142,0,0,6,5,7
"01983",2.6,2,0,5,2,5
"01985",0,0,0,0,1,1
"02002",1,1,1,1,2,2
"02019",0,0,0,0,1,1
"02021",1,0,0,2,1,2
"02025",0,0,0,0,4,4
"02026",0,0,0,0,3,3
"02035",0,0,0,0,3,3
"02043",0.3333333333333333,0,0,0,8,9
"02045",0.5,0,0,1,2,2
"02048",2,1,0,5,2,3
"02050",0.3333333333333333,0,0,1,3,3
"02056",2.5,2,2,3,0,2
"02061",0.75,1,0,1,16,16
"02062",1.3333333333333333,0,0,4,2,3
"02065",0,0,0,0,1,1
"02066",1,1,0,2,8,11
"02067",0,0,0,0,1,1
"02072",0,0,0,0,1,1
"02081",0,0,0,0,5,5
"02090",0,0,0,0,4,4
"02099",0,0,0,0,1,1
"02101",0,0,0,0,1,1
"02108",1,1,1,1,1,1
"02110",0,0,0,0,1,1
"02113",0,0,0,0,2,2
"02114",2.6666666666666665,4,0,4,1,3
"02115",3,0,0,6,1,2
"02116",0.75,1,0,1,4,4
"02118",0.875,0,0,2,9,16
"02119",0,0,0,0,1,1
"02120",1.6666666666666667,0,0,5,2,3
"02121",0,0,0,0,2,2
"02122",0.5,0,0,1,2,2
"02124",1,0,0,1,3,4
"02125",0,0,0,0,3,3
"02126",0,0,0,0,1,1
"02127",0,0,0,0,2,2
"02128",0,0,0,0,3,3
"02129",1.6666666666666667,1,0,3,3,6
"02130",0,0,0,0,12,12
"02131",0,0,0,0,2,2
"02134",0.25,0,0,0,4,4
"02135",0,0,0,0,3,3
"02136",0,0,0,0,4,4
"02138",0.5,0,0,1,4,4
"02139",0.5,0,0,1,2,2
"02140",0,0,0,0,1,1
"02141",0,0,0,0,3,3
"02143",0,0,0,0,1,1
"02144",0.3333333333333333,0,0,1,3,3
"02148",0,0,0,0,6,6
"02150",0,0,0,0,2,2
"02151",0,0,0,0,28,28
"02152",0,0,0,0,1,1
"02155",0.25,0,0,0,7,8
"02169",0,0,0,0,4,4
"02170",0,0,0,0,4,4
"02171",0,0,0,0,3,3
"02176",0,0,0,0,2,2
"02184",0,0,0,0,5,5
"02186",3,0,0,6,1,2
"02188",0.1111111111111111,0,0,0,9,9
"02189",0,0,0,0,2,2
"02190",0,0,0,0,1,1
"02191",0,0,0,0,1,1
"02210",0,0,0,0,3,3
"02215",1.5,0,0,2,2,4
"02269",1,1,1,1,1,1
"02301",0.2857142857142857,0,0,1,7,7
"02302",0.375,0,0,0,7,8
"02322",0,0,0,0,2,2
"02324",0.5,0,0,1,2,2
"02332",0.4,0,0,1,10,10
"02333",0,0,0,0,1,1
"02341",0,0,0,0,3,3
"02343",0,0,0,0,1,1
"02346",0,0,0,0,10,10
"02347",0,0,0,0,3,3
"02356",0,0,0,0,2,2
"02359",0,0,0,0,2,2
"02360",0,0,0,0,5,5
"02364",1,1,1,1,1,1
"02368",1,0,0,3,2,3
"02370",0,0,0,0,2,2
"02382",0.42857142857142855,0,0,1,7,7
"02402",0,0,0,0,1,1
"02420",0,0,0,0,1,1
"02421",0,0,0,0,1,1
"02440",0,0,0,0,3,3
"02445",0,0,0,0,1,1
"02446",0.8666666666666667,0,0,1,26,30
"02451",0.25,0,0,0,4,4
"02453",0,0,0,0,2,2
"02459",0.46153846153846156,0,0,1,13,13
"02460",0,0,0,0,2,2
"02461",1,1,1,1,1,1
"02464",1,0,0,2,1,2
