"anly_mapped_zipcode","collection_to_accession","collection_to_accession","collection_to_accession","collection_to_accession","collection_to_accession_less_than_1","collection_to_accession_less_than_1"
"00907",2,0,0,6,2,3
"00909",0,0,0,0,3,3
"00911",0,0,0,0,3,3
"00914",0.25,0,0,0,4,4
"00917",0,0,0,0,2,2
"00918",0,0,0,0,1,1
"00919",0,0,0,0,1,1
"00922",0,0,0,0,3,3
"00923",1,1,1,1,1,1
"00924",0,0,0,0,1,1
"00925",1,1,1,1,1,1
"00926",0,0,0,0,6,6
"00927",0,0,0,0,1,1
"00929",0,0,0,0,1,1
"00936",0,0,0,0,3,3
"00949",0,0,0,0,1,1
"00952",0,0,0,0,1,1
"00957",1,1,1,1,3,3
"00959",0,0,0,0,1,1
"00961",0,0,0,0,3,3
"00962",0,0,0,0,1,1
"00966",0,0,0,0,4,4
"00969",0,0,0,0,4,4
"00976",0,0,0,0,7,7
"00979",1.5,0,0,3,2,4
"00985",0,0,0,0,6,6
"00987",0,0,0,0,2,2
"00999",1,1,1,1,2,2
"01002",1,1,1,1,2,2
"01009",0,0,0,0,7,7
"01010",0,0,0,0,14,14
"01013",1,1,1,1,1,1
"01014",0.058823529411764705,0,0,0,17,17
"01020",0,0,0,0,4,4
"01028",0,0,0,0,2,2
"01030",0,0,0,0,4,4
"01036",0,0,0,0,6,6
"01040",0,0,0,0,23,23
"01056",0,0,0,0,2,2
"01060",0,0,0,0,2,2
"01069",0,0,0,0,1,1
"01070",0,0,0,0,1,1
"01075",1.1428571428571428,2,0,2,3,7
"01085",1,1,0,1,7,8
"01086",1,1,1,1,3,3
"01089",0.09090909090909091,0,0,0,11,11
"01101",0,0,0,0,1,1
"01103",0,0,0,0,3,3
"01105",0,0,0,0,1,1
"01106",1,1,1,1,2,2
"01107",0.5,0,0,1,6,6
"01108",0,0,0,0,6,6
"01109",0.2,0,0,0,5,5
"01114",2,2,2,2,0,2
"01151",0,0,0,0,4,4
"01199",0,0,0,0,1,1
"01201",1,0,0,1,5,6
"01202",0,0,0,0,3,3
"01226",0,0,0,0,1,1
"01240",0,0,0,0,1,1
"01247",0,0,0,0,1,1
"01253",1,1,1,1,1,1
"01257",0,0,0,0,1,1
"01331",0,0,0,0,1,1
"01373",0,0,0,0,1,1
"01420",0,0,0,0,3,3
"01432",0,0,0,0,15,15
"01436",0,0,0,0,1,1
"01440",0,0,0,0,1,1
"01450",0,0,0,0,2,2
"01460",0,0,0,0,2,2
"01462",0,0,0,0,3,3
"01463",0,0,0,0,1,1
"01468",1,1,1,1,1,1
"01473",0,0,0,0,1,1
"01501",0.25,0,0,0,4,4
"01507",0,0,0,0,1,1
"01510",0.4,0,0,1,5,5
"01519",0,0,0,0,3,3
"01521",0,0,0,0,1,1
"01523",0,0,0,0,1,1
"01524",1.5,0,0,3,1,2
"01527",0.6666666666666666,1,0,1,3,3
"01532",0.6,1,0,1,5,5
"01540",0,0,0,0,1,1
"01543",0,0,0,0,1,1
"01545",0.23809523809523808,0,0,0,19,21
"01550",0,0,0,0,1,1
"01564",0,0,0,0,1,1
"01566",1,1,1,1,2,2
"01569",0,0,0,0,3,3
"01581",0.2857142857142857,0,0,1,7,7
"01583",0,0,0,0,1,1
"01588",0,0,0,0,5,5
"01590",0,0,0,0,1,1
"01602",0,0,0,0,1,1
"01603",0,0,0,0,1,1
"01604",0,0,0,0,2,2
"01605",0,0,0,0,2,2
"01606",0,0,0,0,1,1
"01609",0.25,0,0,0,4,4
"01611",0,0,0,0,2,2
"01701",0,0,0,0,2,2
"01702",0,0,0,0,2,2
"01720",0.2,0,0,0,5,5
"01721",0,0,0,0,3,3
"01730",0,0,0,0,1,1
"01741",0,0,0,0,3,3
"01742",0.5714285714285714,0,0,1,6,7
"01745",1,1,1,1,1,1
"01746",0.25,0,0,0,4,4
"01748",0,0,0,0,4,4
"01749",0,0,0,0,3,3
"01752",0.16666666666666666,0,0,0,6,6
"01757",0,0,0,0,2,2
"01760",0.5454545454545454,1,0,1,11,11
"01772",0,0,0,0,2,2
"01776",0,0,0,0,3,3
"01778",0.75,1,0,1,7,8
"01801",0.2,0,0,0,9,10
"01803",0,0,0,0,4,4
"01810",0.6666666666666666,1,0,1,3,3
"01821",0.6666666666666666,0,0,1,5,6
"01824",0,0,0,0,2,2
"01826",0,0,0,0,2,2
"01830",0,0,0,0,1,1
"01832",0.25,0,0,0,7,8
"01834",0,0,0,0,1,1
"01835",0,0,0,0,1,1
"01841",0,0,0,0,8,8
"01843",0,0,0,0,7,7
"01844",0.2857142857142857,0,0,0,12,14
"01845",0,0,0,0,3,3
"01850",1,1,1,1,1,1
"01851",0,0,0,0,1,1
"01852",0,0,0,0,5,5
"01854",0,0,0,0,3,3
"01863",0,0,0,0,1,1
"01864",0,0,0,0,1,1
"01867",0.16666666666666666,0,0,0,6,6
"01876",1,1,1,1,3,3
"01880",0,0,0,0,7,7
"01887",0.5,0,0,1,2,2
"01888",1,1,1,1,1,1
"01890",0,0,0,0,9,9
"01904",1,0,0,2,1,2
"01905",0,0,0,0,6,6
"01906",0,0,0,0,1,1
"01907",0.25,0,0,0,4,4
"01913",0.5,0,0,1,2,2
"01915",0,0,0,0,2,2
"01921",0,0,0,0,1,1
"01923",0.125,0,0,0,8,8
"01930",0,0,0,0,8,8
"01938",0,0,0,0,1,1
"01940",1.8,3,0,3,2,5
"01944",0,0,0,0,1,1
"01945",0.2,0,0,0,5,5
"01949",0.25,0,0,0,4,4
"01950",0,0,0,0,3,3
"01952",1,0,0,2,2,4
"01960",0,0,0,0,5,5
"01966",0.5,0,0,1,2,2
"01970",0.2857142857142857,0,0,1,7,7
"01983",0.4,0,0,0,4,5
"01985",0,0,0,0,1,1
"02002",1,1,1,1,2,2
"02019",0,0,0,0,1,1
"02021",0.5,0,0,1,2,2
"02025",0,0,0,0,4,4
"02026",0.6666666666666666,0,0,2,2,3
"02035",0,0,0,0,3,3
"02043",0,0,0,0,9,9
"02045",0.5,0,0,1,2,2
"02048",0.6666666666666666,1,0,1,3,3
"02050",0,0,0,0,3,3
"02056",1,1,1,1,2,2
"02061",0,0,0,0,6,6
"02062",0.6666666666666666,1,0,1,3,3
"02065",0,0,0,0,1,1
"02066",0,0,0,0,7,7
"02067",0,0,0,0,1,1
"02072",4,4,4,4,0,1
"02081",0,0,0,0,5,5
"02090",0,0,0,0,4,4
"02099",0,0,0,0,1,1
"02101",0,0,0,0,1,1
"02108",0,0,0,0,1,1
"02110",1,1,1,1,1,1
"02113",0,0,0,0,2,2
"02114",0,0,0,0,3,3
"02115",0,0,0,0,2,2
"02116",0,0,0,0,4,4
"02118",0,0,0,0,6,6
"02119",0,0,0,0,1,1
"02120",0.3333333333333333,0,0,1,3,3
"02121",0,0,0,0,2,2
"02122",0,0,0,0,2,2
"02124",0.75,0,0,0,3,4
"02125",0,0,0,0,3,3
"02126",0,0,0,0,1,1
"02127",0,0,0,0,2,2
"02128",0,0,0,0,3,3
"02129",0,0,0,0,6,6
"02130",0,0,0,0,9,9
"02131",0,0,0,0,1,1
"02134",0,0,0,0,4,4
"02135",0,0,0,0,3,3
"02136",0.25,0,0,0,4,4
"02138",0.25,0,0,0,4,4
"02139",0,0,0,0,2,2
"02140",0,0,0,0,1,1
"02144",0,0,0,0,3,3
"02148",0.5,0,0,1,6,6
"02150",0,0,0,0,1,1
"02151",0,0,0,0,26,26
"02152",0,0,0,0,1,1
"02155",0,0,0,0,8,8
"02169",0,0,0,0,3,3
"02170",0,0,0,0,4,4
"02171",0.6666666666666666,0,0,2,2,3
"02176",0,0,0,0,2,2
"02184",0,0,0,0,5,5
"02186",0,0,0,0,1,1
"02188",0,0,0,0,9,9
"02189",0,0,0,0,2,2
"02190",0,0,0,0,1,1
"02191",0,0,0,0,1,1
"02210",0,0,0,0,3,3
"02215",1,0,0,0,3,4
"02269",0,0,0,0,1,1
"02301",0.2857142857142857,0,0,1,7,7
"02302",0.375,0,0,0,7,8
"02322",0,0,0,0,1,1
"02324",0.5,0,0,1,2,2
"02332",0.7,0,0,2,7,10
"02333",0,0,0,0,1,1
"02341",0.3333333333333333,0,0,1,3,3
"02343",0,0,0,0,1,1
"02346",0.2,0,0,0,9,10
"02347",0,0,0,0,3,3
"02356",0.5,0,0,1,2,2
"02359",2,0,0,4,1,2
"02360",0,0,0,0,5,5
"02364",1,1,1,1,1,1
"02368",1.3333333333333333,1,0,3,2,3
"02370",0.5,0,0,1,2,2
"02382",0,0,0,0,3,3
"02402",0,0,0,0,1,1
"02420",1,1,1,1,1,1
"02421",0,0,0,0,1,1
"02445",0,0,0,0,1,1
"02446",0.13333333333333333,0,0,0,30,30
"02451",0,0,0,0,4,4
"02453",0,0,0,0,2,2
"02459",0.46153846153846156,0,0,1,13,13
"02460",1,1,1,1,2,2
"02461",0,0,0,0,1,1
"02464",0.5,0,0,1,2,2
"02465",0,0,0,0,5,5
"02467",0.15384615384615385,0,0,0,13,13
"02472",0.5,0,0,1,2,2
"02474",1,0,0,3,2,3
"02478",0,0,0,0,4,4
"02481",0,0,0,0,7,7
"02482",0.5,0,0,1,2,2
"02492",0,0,0,0,5,5
"02493",0,0,0,0,3,3
"02535",0,0,0,0,3,3
"02536",0,0,0,0,8,8
"02537",0,0,0,0,4,4
"02540",0,0,0,0,2,2
"02554",0,0,0,0,3,3
"02556",0.25,0,0,0,4,4
"02557",2,2,2,2,0,1
"02562",0,0,0,0,1,1
"02563",0,0,0,0,6,6
"02564",0,0,0,0,1,1
"02568",0,0,0,0,2,2
"02571",0,0,0,0,2,2
"02574",0,0,0,0,1,1
"02575",0.3333333333333333,0,0,1,3,3
"02576",0,0,0,0,2,2
"02601",0.5,0,0,1,2,2
"02631",0,0,0,0,4,4
"02632",0,0,0,0,3,3
"02633",0,0,0,0,4,4
"02635",0,0,0,0,1,1
"02639",0,0,0,0,1,1
"02646",0,0,0,0,3,3
"02648",1,1,1,1,1,1
"02649",0.375,0,0,0,7,8
"02653",0,0,0,0,4,4
"02655",0,0,0,0,6,6
"02657",4.666666666666667,1,1,12,2,3
"02659",0.5,0,0,1,2,2
"02673",0,0,0,0,1,1
"02675",0,0,0,0,1,1
"02703",0,0,0,0,2,2
"02717",0,0,0,0,2,2
"02718",0,0,0,0,10,10
"02719",0,0,0,0,6,6
"02721",1,1,1,1,1,1
"02723",0,0,0,0,1,1
"02725",0,0,0,0,1,1
"02726",0.5,0,0,1,2,2
"02739",0,0,0,0,1,1
"02740",0.42857142857142855,0,0,1,13,14
"02745",1.2,2,0,2,2,5
"02746",0.5,0,0,1,6,6
"02747",0,0,0,0,2,2
"02760",0,0,0,0,6,6
"02762",0,0,0,0,1,1
"02766",0,0,0,0,1,1
"02771",0,0,0,0,1,1
"02777",0,0,0,0,1,1
"02779",0,0,0,0,2,2
"02780",0,0,0,0,1,1
"02806",0.4,0,0,1,5,5
"02809",0,0,0,0,3,3
"02813",0,0,0,0,3,3
"02816",0.16666666666666666,0,0,0,6,6
"02818",1,1,1,1,1,1
"02833",0,0,0,0,1,1
"02838",0,0,0,0,1,1
"02840",0,0,0,0,4,4
"02842",0,0,0,0,2,2
"02860",0,0,0,0,2,2
"02861",0.0625,0,0,0,16,16
"02863",0,0,0,0,2,2
"02864",0,0,0,0,4,4
"02871",1,1,1,1,1,1
"02874",0,0,0,0,1,1
"02878",0,0,0,0,2,2
"02879",0.7142857142857143,0,0,2,5,7
"02881",0,0,0,0,1,1
"02882",0,0,0,0,2,2
"02886",0,0,0,0,2,2
"02888",0,0,0,0,2,2
"02889",0,0,0,0,1,1
"02891",0,0,0,0,1,1
"02893",0.5,0,0,1,2,2
"02895",0,0,0,0,2,2
"02896",0,0,0,0,2,2
"02903",2,2,2,2,0,1
"02904",0,0,0,0,2,2
"02905",0,0,0,0,2,2
"02906",0,0,0,0,1,1
"02908",0,0,0,0,1,1
"02909",0,0,0,0,2,2
"02910",0,0,0,0,7,7
"02911",0,0,0,0,1,1
"02914",0,0,0,0,2,2
"02915",1,1,1,1,1,1
"02916",0.3333333333333333,0,0,1,3,3
"02919",0.5,0,0,1,2,2
"02920",0,0,0,0,2,2
"02921",0,0,0,0,1,1
"03031",0,0,0,0,1,1
"03038",0.4,0,0,1,5,5
"03045",2,2,2,2,0,1
"03046",0,0,0,0,1,1
"03049",0,0,0,0,2,2
"03051",0,0,0,0,5,5
"03053",0.6,1,0,1,10,10
"03054",1.3333333333333333,1,1,2,2,3
"03055",0,0,0,0,1,1
"03057",0,0,0,0,1,1
"03060",0,0,0,0,1,1
"03062",0.125,0,0,0,8,8
"03063",0.4,0,0,1,5,5
"03076",0,0,0,0,1,1
"03077",0,0,0,0,2,2
"03079",1,1,1,1,4,4
"03102",0,0,0,0,1,1
"03103",0.13793103448275862,0,0,0,28,29
"03104",0,0,0,0,2,2
"03110",0.14285714285714285,0,0,0,7,7
"03159",0,0,0,0,2,2
"03222",0,0,0,0,4,4
"03226",0,0,0,0,4,4
"03229",0,0,0,0,1,1
"03235",0,0,0,0,2,2
"03243",2,2,2,2,0,1
"03244",0,0,0,0,1,1
"03245",1,1,1,1,1,1
"03246",0.5,0,0,1,2,2
"03249",0,0,0,0,5,5
"03253",0,0,0,0,2,2
"03254",0,0,0,0,3,3
"03262",0,0,0,0,1,1
"03282",0,0,0,0,1,1
"03301",0.5,0,0,1,8,8
"03306",1,1,1,1,1,1
"03316",2,2,2,2,0,1
"03320",0.6,1,0,1,5,5
"03431",0,0,0,0,3,3
"03446",0,0,0,0,1,1
"03447",1,0,0,2,2,4
"03455",0,0,0,0,1,1
"03458",0,0,0,0,1,1
"03467",3.5,3,3,4,0,2
"03493",2,2,2,2,0,1
"03561",1,1,1,1,1,1
"03581",0,0,0,0,2,2
"03704",2,2,2,2,0,1
"03710",1,1,1,1,1,1
"03748",0,0,0,0,2,2
"03753",0,0,0,0,4,4
"03755",0,0,0,0,5,5
"03765",0,0,0,0,1,1
"03774",1,1,1,1,1,1
"03777",0,0,0,0,1,1
"03782",0,0,0,0,3,3
"03801",0,0,0,0,1,1
"03802",0,0,0,0,1,1
"03809",0,0,0,0,1,1
"03813",0,0,0,0,1,1
"03818",0,0,0,0,2,2
"03820",0,0,0,0,7,7
"03824",0,0,0,0,1,1
"03825",0,0,0,0,3,3
"03833",1,1,1,1,2,2
